# View: fund_consistency
# Question: Was the return steady, or a few good years?
# As of: 2026-09-26
# Data as of: 25 Sep 2026 (1 days old)
# Coverage: — of portfolio value | Unresolved: — | Confidence: medium
# Source modules: m2, m0
# Generated: 2026-09-26T10:36:03.728916+00:00
stretch_ending,fund_return,benchmark_return
2026-06-16,0.080588,
2026-06-23,0.103182,
2026-06-30,0.084774,
2026-07-07,0.115824,
2026-07-14,0.144559,
2026-07-21,0.132800,
2026-07-28,0.157440,
2026-08-04,0.183941,
2026-08-11,0.173331,
2026-08-18,0.138706,
2026-08-25,0.130038,
2026-09-01,0.160782,
2026-09-08,0.149530,
2026-09-15,0.126885,
2026-09-22,0.146455,
